,Country,Code,Year,PlasticWaste(metric tons)
0,Africa,,2019,13690104
1,Albania,ALB,2019,69833
2,Algeria,DZA,2019,764578
3,Angola,AGO,2019,236946
4,Antigua and Barbuda,ATG,2019,627
5,Argentina,ARG,2019,465808
6,Asia,,2019,39881167
7,Australia,AUS,2019,5266
8,Bahamas,BHS,2019,2212
9,Bahrain,BHR,2019,1043
10,Bangladesh,BGD,2019,1021990
11,Barbados,BRB,2019,872
12,Belgium,BEL,2019,2284
13,Belize,BLZ,2019,6021
14,Benin,BEN,2019,133335
15,Bosnia and Herzegovina,BIH,2019,55551
16,Brazil,BRA,2019,3296700
17,Brunei,BRN,2019,692
18,Bulgaria,BGR,2019,3117
19,Burkina Faso,BFA,2019,317298
20,Cambodia,KHM,2019,247495
21,Cameroon,CMR,2019,578798
22,Canada,CAN,2019,23587
23,Cape Verde,CPV,2019,3568
24,Chile,CHL,2019,30767
25,China,CHN,2019,12272200
26,Colombia,COL,2019,85454
27,Comoros,COM,2019,59158
28,Congo,COG,2019,65291
29,Costa Rica,CRI,2019,5751
30,Cote d'Ivoire,CIV,2019,291614
31,Croatia,HRV,2019,17544
32,Cyprus,CYP,2019,837
33,Democratic Republic of Congo,COD,2019,1369730
34,Denmark,DNK,2019,390
35,Djibouti,DJI,2019,10289
36,Dominica,DMA,2019,1082
37,Dominican Republic,DOM,2019,194018
38,EU-27,,2019,266588
39,Ecuador,ECU,2019,108797
40,Egypt,EGY,2019,1435510
41,El Salvador,SLV,2019,21693
42,Equatorial Guinea,GNQ,2019,9403
43,Eritrea,ERI,2019,84088
44,Estonia,EST,2019,600
45,Europe,,2019,1180718
46,Fiji,FJI,2019,3858
47,Finland,FIN,2019,2621
48,France,FRA,2019,27780
49,French Guiana,GUF,2019,126
50,Gabon,GAB,2019,5991
51,Gambia,GMB,2019,35095
52,Georgia,GEO,2019,307
53,Germany,DEU,2019,50676
54,Ghana,GHA,2019,520002
55,Greece,GRC,2019,4506
56,Grenada,GRD,2019,1357
57,Guadeloupe,GLP,2019,162
58,Guatemala,GTM,2019,311003
59,Guinea,GIN,2019,147997
60,Guinea-Bissau,GNB,2019,20465
61,Guyana,GUY,2019,27565
62,Haiti,HTI,2019,237968
63,Honduras,HND,2019,145995
64,Hong Kong,HKG,2019,5781
65,Iceland,ISL,2019,151
66,India,IND,2019,12994100
67,Indonesia,IDN,2019,824234
68,Iran,IRN,2019,495965
69,Iraq,IRQ,2019,491771
70,Ireland,IRL,2019,2675
71,Israel,ISR,2019,6060
72,Italy,ITA,2019,38803
73,Jamaica,JAM,2019,49673
74,Japan,JPN,2019,35684
75,Jordan,JOR,2019,124425
76,Kazakhstan,KAZ,2019,54242
77,Kenya,KEN,2019,289917
78,Kiribati,KIR,2019,74
79,Kuwait,KWT,2019,2640
80,Latvia,LVA,2019,955
81,Lebanon,LBN,2019,46622
82,Lesotho,LSO,2019,30391
83,Liberia,LBR,2019,39930
84,Libya,LBY,2019,188535
85,Lithuania,LTU,2019,1037
86,Macau,,2019,14749
87,Madagascar,MDG,2019,25250
88,Malaysia,MYS,2019,814454
89,Maldives,MDV,2019,60
90,Malta,MLT,2019,259
91,Marshall Islands,MHL,2019,16
92,Martinique,MTQ,2019,139
93,Mauritania,MRT,2019,20796
94,Mauritius,MUS,2019,299
95,Mexico,MEX,2019,430614
96,Micronesia,,2019,447
97,Monaco,MCO,2019,5
98,Montenegro,MNE,2019,16
99,Morocco,MAR,2019,295488
100,Mozambique,MOZ,2019,434432
101,Myanmar,MMR,2019,434432
102,Namibia,NAM,2019,20892
103,Netherlands,NLD,2019,15233
104,New Zealand,NZL,2019,1714
105,Nicaragua,NIC,2019,110862
106,Nigeria,NGA,2019,1948950
107,North America,,2019,1927484
108,North Korea,PRK,2019,322
109,Norway,NOR,2019,1494
110,Oceania,,2019,136506
111,Oman,OMN,2019,1251
112,Pakistan,PAK,2019,1346460
113,Palau,PLW,2019,116
114,Palestine,PSE,2019,2129
115,Panama,PAN,2019,36339
116,Papua New Guinea,PNG,2019,119538
117,Peru,PER,2019,140313
118,Philippines,PHL,2019,4025300
119,Poland,POL,2019,14124
120,Portugal,PRT,2019,3818
121,Puerto Rico,PRI,2019,1293
122,Qatar,QAT,2019,1532
123,Reunion,REU,2019,233
124,Romania,ROU,2019,52161
125,Russia,RUS,2019,363389
126,Saint Kitts and Nevis,KNA,2019,97
127,Saint Lucia,LCA,2019,4276
128,Saint Martin,,2019,8
129,Saint Vincent and the Grenadines,VCT,2019,1235
130,Samoa,WSM,2019,1738
131,Sao Tome and Principe,STP,2019,2069
132,Saudi Arabia,SAU,2019,7176
133,Senegal,SEN,2019,65660
134,Seychelles,SYC,2019,33
135,Sierra Leone,SLE,2019,91239
136,Singapore,SGP,2019,2468
137,Sint Maarten,,2019,3
138,Slovakia,SVK,2019,1719
139,Slovenia,SVN,2019,844
140,Solomon Islands,SLB,2019,3520
141,Somalia,SOM,2019,42
142,South Africa,ZAF,2019,708467
143,South America,,2019,4942514
144,South Korea,KOR,2019,12156
145,Spain,ESP,2019,20350
146,Sri Lanka,LKA,2019,155466
147,Sudan,SDN,2019,781625
148,Suriname,SUR,2019,22933
149,Sweden,SWE,2019,4255
150,Syria,SYR,2019,502
151,Taiwan,TWN,2019,7502
152,Tanzania,TZA,2019,1716400
153,Thailand,THA,2019,1361690
154,Timor,TLS,2019,17244
155,Togo,TGO,2019,121783
156,Tonga,TON,2019,666
157,Trinidad and Tobago,TTO,2019,73139
158,Tunisia,TUN,2019,289538
159,Turkey,TUR,2019,1656110
160,Ukraine,UKR,2019,393777
161,United Arab Emirates,ARE,2019,5135
162,United Kingdom,GBR,2019,29914
163,United States,USA,2019,267469
164,Uruguay,URY,2019,92620
165,Venezuela,VEN,2019,671431
166,Vietnam,VNM,2019,1112790
167,Western Sahara,ESH,2019,4114
168,World,OWID_WRL,2019,61773700
169,Yemen,YEM,2019,291737
170,Zimbabwe,ZWE,2019,524865
